ATF5,count
"UBE2G1>AC112253.1,+",18
"LINC01234>CXCL2,+",14
"VEGFA>PLCG2,+",12
"ATF5>CXCL2,+",11
"SH3BGR>AC112253.1,+",9
"LGALS1>CXCL2,+",6
"AC112253.1>CXCL2,-",6
"AC112253.1>SH3BGR,+",5
"HIST1H1C>CXCL2,+",3
"ATF5>PLCG2,+",2
"RBCK1>CXCL2,+",2
"TMSB10>PLCG2,+",2
"VEGFA>CXCL2,+",2
"SPATC1L>CXCL2,+",2
"DDIT3>CXCL2,+",2
"RBCK1>DDIT4,+",1
"RBCK1>PLCG2,+",1
"SPDL1>TTC27,+",1
"VEGFA>DDIT4,+",1
"VEGFA>GDF15,+",1
"TMSB10>CXCL2,+",1
"SH3BGR>CXCL2,+",1
"FNTA>CXCL2,+",1
"SSX1>CXCL2,+",1
"SSX1>POLD3,+",1
"ACAT2>BTG3,+",1
"DYNLL1>PLCG2,-",1
"RBCK1>POLD3,+",1
