MXD1,count
"AC010273.2>Z82217.1,+",33
"MXD1>Z82217.1,+",24
"MXD1>AC010273.2,+",12
"MXD1>ERVMER61-1,+",8
"SYNC>ERVMER61-1,+",6
"GABRE>AC010273.2,+",6
"PHF5A>ERVMER61-1,-",6
"TOP2A>ERVMER61-1,+",5
"Z82217.1>AC010273.2,+",4
"AAK1>ERVMER61-1,+",4
"XIST>GABRE,+",4
"PLIN2>AC010273.2,-",4
"MXD1>B3GAT2,+",3
"MAP1LC3B>KIZ,+",3
"B3GAT2>Z82217.1,+",3
"PHF5A>ATF5,+",2
"KLF6>SAT1,+",2
"GABRE>ERVMER61-1,+",2
"PTOV1>AC010273.2,+",2
"PLIN2>B3GAT2,+",2
"AAK1>B3GAT2,+",2
"AC010273.2>KIZ,+",2
"FNTA>B3GAT2,+",1
"FNTA>ZFAND3,+",1
"NSUN6>AC010273.2,+",1
"FNTA>ERVMER61-1,+",1
"SLC25A37>XIST,+",1
"GABRE>GPSM2,+",1
"ATF5>AC010273.2,+",1
"XIST>Z82217.1,+",1
"AC010273.2>B3GAT2,+",1
"DSCR8>AC010273.2,+",1
"GPSM2>AC010273.2,+",1
"BEX2>RBCK1,+",1
"HIST1H4H>B3GAT2,-",1
"KIZ>AC010273.2,+",1
"AAK1>GPSM2,+",1
"NSUN6>ERVMER61-1,+",1
