STAT5B,count
"HIST1H3B>HIST2H4B,+",98
"STAT5B>LINC00383,+",13
"RBCK1>BEX2,+",8
"MDM2>LINC00383,+",6
"ANXA1>LINC00383,+",5
"S100A13>LINC00383,+",4
"POLD3>LINC00383,+",4
"CDK11A>LINC00383,+",3
"SPDL1>TTK,+",3
"RPF1>POLD3,+",3
"IER2>HIST1H4H,+",3
"RPF1>LINC00383,+",3
"DVL1>LINC00383,+",3
"KIN>LINC00383,+",2
"JUN>SAT1,+",2
"RPF1>S100A6,+",2
"HSPA5>LINC00383,+",2
"EIF4A3>IER5,+",2
"TES>LINC00383,+",1
"RPF1>HIST2H4B,+",1
"DVL1>HIST1H4H,+",1
"JUN>LINC00383,-",1
"IER5>HIST2H4B,+",1
"ZNHIT3>LINC00383,+",1
"SLC25A37>XIST,+",1
"HIST2H4B>LINC00383,+",1
"JUN>HIST2H4B,+",1
"S100A13>HIST2H4B,+",1
"IER2>GDF15,+",1
"HIST1H3B>HIST1H4H,+",1
"SPDL1>LINC00383,+",1
"RBCK1>POLD3,+",1
"BEX2>GDF15,+",1
"JUN>GDF15,+",1
"ID1>LINC00383,-",1
