ERG,count
"B2M>HLA-C,+",11
"HLA-C>B2M,+",9
"MT-ATP6>MT-ND3,+",7
"HLA-C>HLA-B,+",7
"MT-ND3>MT-ATP6,+",6
"HLA-B>HLA-C,+",5
"MT-CO2>MT-ATP6,+",5
"MT-CO2>MT-CO3,+",5
"HLA-A>HLA-B,+",4
"MT-CO2>MT-ND3,+",4
"RPLP1>RPL10A,+",4
"B2M>HLA-A,+",3
"UBE2E3>SLC38A2,+",3
"RPS12>RPS28,+",3
"MT-ATP6>MT-ND4,+",3
"PSMD8>PSMB5,+",3
"HLA-A>HLA-C,+",3
"RAB13>NASP,+",3
"TPR>NASP,+",3
"HLA-B>HLA-A,+",3
"MALAT1>CD46,+",3
"MT-ND4>MT-ATP6,+",3
"RPS26>RPL10A,+",3
"MT-ATP6>MT-CO3,+",3
"MT-CO3>MT-ATP6,+",3
"HLA-B>B2M,+",3
"TRIP11>YES1,+",3
"MT-CO3>MT-CO2,+",3
"SPARCL1>GIMAP7,+",3
"UBE2E3>MGP,-",3
"RPS28>TMEM14C,+",3
"RPS28>UQCRB,+",3
"ATP6V0E1>PSMB5,+",3
"TSPAN7>GIMAP7,+",3
"CCND3>KANSL1,+",3
"RPL6>EEF2,+",3
"ATP6V0E1>ZNF22,+",3
"HLA-C>HLA-A,+",3
"RPS21>CD151,+",2
"RPL15>EEF2,+",2
"RPS28>GAPDH,+",2
"RPS8>RPLP1,+",2
"MT-CO2>TLE1,+",2
"MT-CO2>KANSL1,+",2
"RPS28>RPSA,+",2
"ANAPC11>TMEM14C,+",2
"DDX5>NDUFA8,+",2
"EHD4>PRPSAP1,+",2
"MT-CYB>MT-ATP6,+",2
"RPL15>RPL6,+",2
"PAM>FAM171A1,+",2
"EEF2>PCMTD1,+",2
"NACA>DUSP1,+",2
"EEF2>EIF4B,+",2
"EEF2>KANSL1,+",2
"PQLC1>GIMAP7,+",2
"RPS28>TUBA1B,+",2
"B2M>HLA-B,+",2
"RPL10A>UQCRB,+",2
"MALAT1>CALD1,+",2
"CDC37>TIAM1,+",2
"TRIP11>ITGB1,+",2
"PSMD8>YES1,+",2
"PSMB5>POLR2C,+",2
"RPS28>RPS16,+",2
"ATP6V0E1>DDX5,+",2
"ATP6V0E1>RBMX,+",2
"WAC>PRRC2C,+",2
"EEF2>RNF115,+",2
"KANSL1>DYNC1H1,+",2
"ERG>KAT6B,+",2
"RPL34>EIF4B,+",2
"RPS28>EIF3F,+",2
"EEF1A1>RPS26,+",2
"FNBP1L>NASP,+",2
"MT-ND3>MT-CO3,+",2
"NFIA>SDCBP,+",2
"RPS15A>RPL41,+",2
"TACC1>ERGIC2,+",2
"MT-CYB>MT-CO3,+",2
"PSMD8>CHMP2A,+",2
"ATP6V0E1>TPR,+",2
"ITGB1>TACC1,+",2
"RPL34>NACA,+",2
"SZRD1>CDC37,+",2
"NACA>EEF1A1,+",2
"RPS5>RPL11,+",2
"RPS24>RPS28,+",2
"RPS12>RPSA,+",2
"KANSL1>MFGE8,+",2
"RPL15>RPS28,+",2
"WTAP>ERG,+",2
"SNRPC>ERG,+",2
"RPS28>RPL27,+",2
"NASP>MYL12A,+",2
"PCMTD1>KANSL1,+",2
"PSMD8>MYL12B,+",2
"YWHAB>PSMB5,+",2
"WAC>ERG,+",2
"RPLP1>RPLP0,+",2
"PAFAH1B2>PRRC2C,+",2
"RPS12>RPS21,+",2
"MT-CO1>MT-CO3,+",2
"RPL27>UQCRB,+",2
"HIGD2A>VAPA,+",2
"MYL12B>IFITM2,+",2
"RPL41>EEF2,+",2
"MT-ND3>MT-CO2,+",2
"PEA15>HMGN2,+",2
"HIGD2A>TMEM141,+",2
"GHITM>ERG,+",2
"B2M>RPS28,+",2
"CDC37>FNBP1L,+",2
"RPS21>RPL27,+",2
"RPS12>NACA,+",2
"RPL27>POLR2C,+",2
"DDX5>YWHAB,+",2
"KANSL1>RBMX,+",2
"NACA>EIF3L,+",2
"RPS12>RPS5,+",2
"RPL30>EEF1A1,+",2
"TMEM141>PLEKHA3,+",2
"DYNC1H1>SELENOM,+",2
"UBA52>RPS28,+",2
"RPL7A>RPS28,+",2
"ABCD4>COX7B,+",2
"RPL27>DUSP1,+",2
"RPL27>PCMTD1,+",2
"ZNF326>PCMTD1,+",2
"TCF25>PCMTD1,+",2
"RPS28>RPLP1,+",2
"EIF4B>PSMB5,+",2
"RPS24>RPL27,+",2
"MT-ND1>MT-ND3,+",2
"CD151>SUN2,+",2
