PTEN,count
"PTEN>ABI2,+",3
"ARGLU1>DST,+",3
"SLC3A2>PTEN,+",3
"SPTAN1>DYNC1H1,+",3
"AKAP9>DPYSL3,+",3
"PTEN>CBX6,+",3
"HPCAL1>ZNF428,+",3
"KLHL5>ABI2,+",3
"PTEN>ZFAND6,+",3
"CREBBP>AKAP9,+",3
"SHISA5>IFI6,+",2
"MXRA7>URI1,+",2
"NME4>KPNB1,+",2
"SCP2>C9orf78,+",2
"CBX3>HSP90AB1,+",2
"HPCAL1>SLC3A2,+",2
"RIT1>ZNF207,+",2
"MALAT1>NFAT5,+",2
"EGLN1>SRRM2,+",2
"DCTN3>GNB2,+",2
"MALAT1>SSFA2,+",2
"DPYSL3>BPTF,+",2
"DR1>SLK,+",2
"RPL13A>RPL18,+",2
"DPYSL3>HPCAL1,+",2
"ZFAND6>CENPC,-",2
"GLUD1>MAGI1,+",2
"PDLIM5>CAVIN1,+",2
"NFAT5>FBXL5,+",2
"ZBTB7A>NFAT5,+",2
"ITSN2>TAPBP,+",2
"ZFAND6>PTEN,+",2
"HSP90AB1>MORF4L1,+",2
"NFAT5>C9orf78,+",2
"PGRMC2>DST,+",2
"PPP1CB>GNAS,+",2
"ZFAND6>C9orf78,+",2
"C9orf78>HPCAL1,+",2
"DR1>C9orf78,+",2
"DDX50>PGRMC2,+",2
"KLHL5>DYNC1H1,+",2
"MXRA7>ABI2,+",2
"NME4>PTEN,+",2
"DUSP11>PTEN,-",2
"MXRA7>UBE2H,+",2
"PSMC5>CLTC,+",2
"RPL34>RPL13,+",2
"EFNB2>PDCD4,+",2
"SELENOW>NFAT5,+",2
"MORF4L1>HSP90AB1,+",2
"UBE2H>ITGB1,+",2
"BAG5>NME4,+",2
"USP14>ACTR10,+",2
"IGFBP4>SLC3A2,+",2
"SMARCE1>APLP2,+",2
"MALAT1>MT-ATP6,+",2
"EFNB2>ARGLU1,+",2
"UBE2H>MXRA7,+",2
"SMARCE1>DPYSL3,+",2
"MORF4L1>NOSIP,+",2
"SMIM37>ABI2,-",2
"MORF4L1>CBX6,+",2
"DYNC1H1>KPNB1,+",2
"TLN1>ZNF428,+",2
"SELENOS>TMEM50B,+",2
"HPCAL1>ITSN2,+",2
"NOSIP>PTEN,+",2
"EGLN1>TRIM56,+",2
"ACTR10>USP14,+",2
"UBE2H>MBNL2,+",2
"COPS2>ITSN2,+",2
"RPL15>IRF2BP2,+",2
"NOSIP>MEF2A,+",2
"MXRA7>TLN1,+",2
"SHISA5>PTEN,+",2
"HPCAL1>MXRA7,+",2
"CBX6>CPNE3,-",2
"PTMA>MALAT1,+",2
"RPL15>EIF4B,+",2
"HPCAL1>EGLN1,+",2
"NME4>BAG5,+",2
"HPCAL1>LIMS2,+",2
"VPS26A>CD55,+",2
"DYNC1H1>NDUFA3,+",2
"SENP7>DYNC1H1,+",2
"NCKAP1>ABI2,+",2
"ADSS>PTEN,+",2
"MT-ND3>MT-ATP6,+",2
"SPAG9>DYNC1H1,+",2
"RPL34>HLA-DPB1,+",2
"RILPL2>LIMS2,+",2
"MXRA7>IGFBP2,+",2
"YBX1>PPDPF,+",2
"GIPC2>DR1,+",2
"DYNC1H1>EGLN1,+",2
"DYNC1H1>HPCAL1,+",2
"HPCAL1>HSP90AB1,+",2
"ERG>SMG1,+",2
"FRMD4B>MAP4,+",2
"PGRMC2>C19orf24,-",2
"AKAP9>ROCK2,+",2
"EGLN1>PTEN,+",2
"ZFAND6>PNISR,+",2
"MRPL28>ABI2,+",2
"DPYSL3>CBX6,+",2
"DST>PGRMC2,+",2
"KDM2A>NMI,+",2
"KANSL1>ABI2,+",2
"DYNC1H1>SLK,+",2
"COPS2>KPNB1,+",2
"CAVIN2>ABI2,+",2
"CDC37>ACTR2,+",2
"LIMA1>KCTD12,+",2
"EGLN1>BPTF,+",2
"NME4>TRIM56,+",2
"MXRA7>PSMC1,+",2
"TRIM56>FAM171A1,+",2
"PRKD3>DST,+",2
"MT-ND2>NFAT5,+",2
"PKP4>PHKB,+",2
"MT-ND3>MT-CYB,+",2
"HSP90AB1>SMG1,+",2
"SNX3>GNS,+",2
"CYC1>PTEN,+",2
"CFLAR>AKAP9,+",2
"MORF4L1>SMIM37,+",2
"NOSIP>SHISA5,+",2
"CSDE1>HSP90AB1,+",2
"TAPBP>NME4,+",2
"NDUFC2>CBX6,+",2
"CPNE3>PTEN,+",2
"MEF2A>CYBC1,+",1
"DDX23>CYBC1,+",1
"HPCAL1>BRWD1,+",1
"AKAP9>SMG1,+",1
"SLK>MAP4,+",1
"ACTR10>HIGD2A,-",1
"TLK1>CTDSP1,+",1
"TACC1>USP7,+",1
"NOSIP>MAP4,+",1
"CSDE1>SMG1,-",1
"ZFHX3>ZBTB7A,+",1
"BAG6>MBTPS1,+",1
"SLC3A2>MAP4,+",1
"MAP4>SELENOK,+",1
"NDUFA3>ASAP1,+",1
"SMG1>MBTPS1,+",1
"MEF2A>CTNND1,+",1
"DPYSL3>HEG1,-",1
"TACC1>HIGD2A,+",1
"YIPF6>SLC3A2,+",1
"AKAP9>YBX1,+",1
"EML4>CTNND1,+",1
"MALAT1>SNX3,+",1
"SELENOK>NDUFA3,+",1
"DDX23>CTNND1,+",1
"EIF4B>ECE1,+",1
"RAPGEF3>TLK1,-",1
"CTDSP1>TLK1,+",1
"ERG>SKIL,+",1
"ROCK2>SUCLG1,+",1
"EML4>MYH9,+",1
"CCT5>SUCLG1,+",1
"BAG6>SUCLG1,+",1
"MALAT1>MYH9,+",1
"USP7>EIF3D,-",1
"YIPF6>SELENOK,+",1
"CTDSP1>HEG1,+",1
"GRINA>SLC3A2,+",1
"ITSN2>EDEM3,+",1
"NUCKS1>EDEM3,+",1
"GRINA>GNS,+",1
"USP7>HEG1,+",1
"SNX3>CAPN2,+",1
"AKAP9>ABI2,+",1
"CTNND1>CAPN2,+",1
"MAP4>NOSIP,+",1
"NUCKS1>PRRC2C,+",1
"TM9SF3>PRRC2C,+",1
"CTNND1>MEF2A,+",1
"SLC3A2>GIPC1,+",1
"SLC3A2>CTNND1,+",1
"RAPGEF3>SPTAN1,-",1
"DPYSL3>YBX1,+",1
"MALAT1>ATRX,+",1
"EGLN1>PELI1,+",1
"FGD5-AS1>ZBTB7A,+",1
"DBNL>SMC4,+",1
"TTC3>SMC4,+",1
"TTC3>CUX1,+",1
"KBTBD2>CUX1,+",1
"PARP1>DST,+",1
"TYW3>PARP1,+",1
"ETFA>PARP1,-",1
"TTC3>PARP1,-",1
"FGD5-AS1>NFAT5,+",1
"TMEM170A>NFAT5,+",1
"ETNK1>FGD5-AS1,+",1
"TYW3>FGD5-AS1,-",1
"TMEM170A>FGD5-AS1,+",1
"DBNL>FGD5-AS1,+",1
"FGD5-AS1>DBNL,+",1
"CNOT2>ZNF302,-",1
"CTNND1>ZNF302,-",1
"MAF1>TYW3,-",1
"TMEM170A>TYW3,-",1
"PARP1>SERINC3,+",1
"TTC3>CASD1,-",1
"SMG1>CSDE1,-",1
"NORAD>SSFA2,+",1
"CTNND1>REST,+",1
"ZFP36L2>KBTBD2,+",1
"PPP1R13B>ABI2,+",1
"CASD1>CNOT2,-",1
"ABI2>PPP1R13B,+",1
"TTC3>PPP1R13B,+",1
"MALAT1>EIF5,+",1
"BAZ1B>ZFP36L2,+",1
"TMEM170A>ZFP36L2,+",1
"CCNL1>ZFP36L2,+",1
"KBTBD2>ETNK1,+",1
"FGD5-AS1>ETNK1,+",1
"ATRX>HNRNPC,+",1
"MALAT1>CTNND1,+",1
"SMC4>SEMA4C,+",1
"TTC3>SEMA4C,+",1
"ATRX>SEMA4C,-",1
"SMC4>CCNL1,-",1
"CNOT2>CCNL1,+",1
"CUX1>CCNL1,+",1
"PARP1>SSFA2,+",1
"PARP1>TYW3,+",1
"ATRX>CD93,+",1
"ETNK1>ITSN2,+",1
"ZNF302>PGRMC2,-",1
"ROCK2>SPTAN1,+",1
"ACTR10>TACC1,+",1
"CSDE1>TACC1,+",1
"ZFHX3>SLK,+",1
"TACC1>SLK,+",1
"ZBTB7A>TMEM50B,+",1
"NUCKS1>ATOX1,+",1
"MTRNR2L12>ATOX1,+",1
"BAG6>RAPGEF3,+",1
"AKAP9>RAPGEF3,+",1
"SMG1>MKNK2,+",1
"TACC1>MKNK2,+",1
"CSDE1>MKNK2,+",1
"SPTAN1>ROCK2,+",1
"ACTR10>HPCAL1,+",1
"TACC1>ERG,+",1
"TLK1>LSM5,+",1
"NUCKS1>ACTR10,+",1
"TACC1>NUCKS1,+",1
"HIGD2A>NFAT5,+",1
"SMG1>NFAT5,+",1
"AKAP9>PER3,+",1
"DPYSL3>PER3,+",1
"CFLAR>PER3,+",1
"ATRX>EIF4B,+",1
"PELI1>PRPF38B,+",1
"KMT2A>PRPF38B,+",1
"KBTBD2>CBX6,+",1
"MAF1>CBX6,+",1
"DBNL>CBX6,+",1
"EIF4B>PDLIM5,+",1
"KBTBD2>PDLIM5,-",1
"TMEM170A>MAF1,+",1
"ATRX>DYNC1H1,+",1
"DPYSL3>EBAG9,+",1
"SMG1>PER3,+",1
"TACC1>CYC1,+",1
"MTRNR2L8>MTRNR2L12,+",1
"NOSIP>CCT5,+",1
"RAPGEF3>CCT5,-",1
"RAPGEF3>SHISA5,+",1
"ZBTB7A>SHISA5,-",1
"ZBTB7A>CFLAR,+",1
"ZFHX3>CFLAR,+",1
"MTRNR2L12>MTRNR2L8,+",1
"DDX23>ASAP1,+",1
"FAM208A>MRPL28,+",1
"NOSIP>TM9SF3,+",1
"EGLN1>TM9SF3,+",1
"PTMS>MEIS2,+",1
"NFAT5>ZFHX3,+",1
"ERAP2>AAMP,+",1
"HNRNPUL1>AAMP,+",1
"ABI2>TAOK1,+",1
"DR1>TAOK1,+",1
"NFAT5>HNRNPUL1,+",1
"KMT2A>HNRNPUL1,+",1
"SRRM2>PTPRM,+",1
"HNRNPUL1>PTPRM,+",1
"LRP5>SPTBN1,+",1
"REV3L>SPTBN1,+",1
"PCM1>AKAP9,+",1
"HNRNPUL1>AKAP9,+",1
"PTPRM>AKAP9,+",1
"PCM1>LRP5,+",1
"AKAP9>LRP5,+",1
"ERBIN>LRP5,+",1
"ERAP2>SLIRP,+",1
"MT-CYB>SLIRP,+",1
"REV3L>ANP32E,+",1
"KMT2A>ANP32E,+",1
"SLIRP>ERBIN,+",1
"KMT2A>MEIS2,+",1
"AKAP9>ZFAND6,+",1
"MEIS2>ZFAND6,+",1
"MT-CYB>MT-ATP6,+",1
"CYBC1>EBF1,+",1
"CTSA>SHISA5,+",1
"ERBIN>NDUFC2,+",1
"KMT2A>NDUFC2,+",1
"ZFAND6>APP,-",1
"REV3L>PTMS,+",1
"AKAP9>PTMS,+",1
"MT-CYB>PTMS,+",1
"LRP5>MCAM,-",1
"ERBIN>MCAM,+",1
"STAG2>CCND3,+",1
"MT-CYB>ABI2,+",1
"DR1>STAG2,+",1
"LRP5>REV3L,+",1
"ZFHX3>REV3L,+",1
"HNRNPUL1>TLN1,+",1
