interactions,AR
"JUN>JUNB,+",5
"AR>MMP24OS,+",4
"NET1>PLK2,+",4
"HLA-DRA>CD74,+",4
"JUNB>JUN,+",4
"AR>UBE2K,-",4
"CD74>HLA-DRA,+",4
"KAT6B>EDN1,+",3
"MMP24OS>SF3A3,+",3
"CD74>HLA-DPA1,+",3
"RAI14>ABCG2,+",3
"NEAT1>PLK2,+",3
"AR>PDCD7,+",3
"NET1>FXR1,+",3
"BAZ2A>ATP6AP2,+",3
"MRPL32>IFI16,+",3
"PDCD7>AR,+",3
"AR>SELE,+",3
"HNRNPUL1>CXorf36,+",3
"ATP6AP2>HNRNPUL1,+",3
"NLRP1>NUCB1,+",3
"UBE2K>AR,-",3
"AR>BHLHE40,+",3
"PDCD7>ATP6AP2,-",2
"CSDE1>HEBP1,+",2
"SFSWAP>AR,-",2
"C9orf78>ALDH9A1,+",2
"JUN>CXorf36,+",2
"SDCCAG8>JAM2,+",2
"MRPL32>PDCD7,+",2
"PABPN1>TSHZ2,+",2
"DUT>MRPS26,+",2
"BAZ2B>PKP4,+",2
"BEX4>NDUFC2,+",2
"OGT>CAPRIN1,+",2
"CSDE1>HNRNPA1,+",2
"SF3A3>NUDT14,+",2
"AR>SLC30A1,+",2
"NFE2L1>JAM2,+",2
"ATP6AP2>TMX1,+",2
"JUN>KLF2,+",2
"CLDN5>THSD7A,+",2
"CNOT8>HIPK3,+",2
"PHACTR2>ANKRD10,+",2
"DUT>MMP24OS,+",2
"PER3>JAM2,+",2
"FOS>JUN,+",2
"ATP6AP2>MMP24OS,+",2
"SLC30A1>ARCN1,+",2
"ABCG2>PTPRG,+",2
"PDLIM5>HNRNPUL1,+",2
"ANKRD10>CCT2,+",2
"WBP2>NLRP1,+",2
"EPS15>CCDC50,+",2
"CD74>PKP4,+",2
"CCDC50>ALG13,+",2
"CDKN1A>JUNB,+",2
"TMSB10>S100A11,+",2
"GLUD1>CYB5R1,+",2
"SPPL2A>SELE,+",2
"MRPL32>PKM,+",2
"CSDE1>EDN1,+",2
"PABPN1>ATP6AP2,+",2
"JUN>PLK2,+",2
"ARCN1>MPRIP,-",2
"THAP12>APPBP2,+",2
"EIF2S1>CXorf36,+",2
"MRPL32>ATP6AP2,+",2
"ATP6AP2>CXorf36,+",2
"CXorf36>JAM2,+",2
"MMP24OS>CXorf36,-",2
"UBE2K>PLK2,-",2
"MPRIP>PTPRG,+",2
"LPAR6>HIPK3,+",2
"AR>ARCN1,-",2
"IRF2BP2>SNX6,+",2
"NAP1L4>SERBP1,+",2
"EIF2S1>STAG1,+",2
"DEK>HNRNPUL1,+",2
"NEAT1>CXorf36,+",2
"GLUD1>FGD5-AS1,+",2
"MRPL32>HIPK3,+",2
"NDUFC2>JAM2,+",2
"MMP24OS>ATP6AP2,+",2
"ZNF22>AR,-",2
"FOSB>JAM2,+",2
"SMIM19>MRPL32,-",2
"NDUFC2>MRPL32,+",2
"MMP24OS>ROMO1,+",2
"C8orf59>SLC25A3,+",2
"ARCN1>AR,-",2
"CCT2>MRPS26,+",2
"CCND2>AR,-",2
"JUNB>INTS6,+",2
"KLF4>KLF2,+",2
"ATP6AP2>MRPS26,+",2
"PRDX6>PTMS,+",2
"DUT>ALG13,+",2
"MYOF>RBMS3,+",2
"ARCN1>BHLHE40,-",2
"JUN>KLF4,+",2
"AR>INHBB,-",2
"BAZ2A>G3BP1,+",2
"NEAT1>KLF4,+",2
"PTMS>HADHA,+",2
"MRPS26>RAPGEF4,+",2
"MAZ>FNBP1,+",2
"COA3>MRPS26,+",2
"CCT7>HEBP1,+",2
"FAM171A1>ITGB4,+",2
"PEBP1>ITGB4,+",2
"SDCCAG8>BAZ2B,+",2
"MAZ>ALG13,+",2
"CD74>HLA-DRB5,+",2
"SDCCAG8>NDUFC2,+",2
"PUM1>CXorf36,+",2
"PTGES3>HIPK3,+",2
"PSMC4>PLK2,+",2
"PDCD7>MRPL32,+",2
"PLK2>CXorf36,+",2
"LASP1>MPRIP,+",2
"C9orf78>CXorf36,+",2
"ARCN1>SDCCAG8,+",2
"NLRP1>NEAT1,+",2
"SDCCAG8>VPS35,+",2
"CSDE1>PTMS,+",2
"NUCB1>AR,+",2
"HIPK3>SETD5,+",2
"AR>MRPL32,+",2
"NUCB1>C9orf78,+",2
"MPRIP>NFATC3,+",2
"BTN3A3>HIPK3,+",2
"CCT7>MPRIP,+",2
"ARCN1>RBP5,-",2
"MMP24OS>HNRNPU,+",2
"LTA4H>SELE,+",2
"NLRP1>AR,+",2
"GSPT1>EDN1,+",2
"CXorf36>HNRNPUL1,+",2
"MAGI1>NET1,-",2
"MRPL32>ALG13,+",2
"C9orf78>FAM171A1,+",2
"WBP2>AR,+",2
"LSM12>AR,+",2
"MMP24OS>POLR2B,-",2
"AR>USP22,-",2
"RB1CC1>MAZ,+",2
