gene,total_count
GZMH,189.11636956593762
CXCR4,186.01420941248227
CCL5,178.31058245702567
IL32,176.37160147793733
GZMA,175.25518792649706
CD3D,173.17365866687942
NKG7,171.86566854579516
BTG1,171.54111758639192
CD2,171.09295906095534
CST7,170.34445977889553
CCL4,168.72277913944865
RPL31,167.06549959276924
RPS3,166.87134316648684
RPS29,166.273079184683
RPS27,166.23310499209666
RPL30,165.65341194934433
TOMM7,165.52989626614644
RPS12,165.28845906400318
RPS27A,165.28079881812417
MALAT1,165.24520394795726
RPS25,165.1585862205977
RPL23A,165.04369034215085
RPS6,165.00029844127644
RPLP2,164.97777342477877
RPS3A,164.93024453062964
RPL13A,164.91612179415094
RPL35A,164.91142279389302
RPL21,164.81929340146107
RPL32,164.7381586492845
RPL3,164.71428933529828
RPL34,164.49830789766736
RPL9,164.15435962843983
RPS18,164.12362669036688
RPL10A,164.0587261939438
RPL41,163.99379028272799
RPL13,163.93638662118283
RPS15A,163.90366357181645
RPS28,163.71553924139334
RPL26,163.6972069363592
RPS14,163.6352255043199
RPL27A,163.5706710295548
RPL12,163.54405119944354
RPL11,163.42992021395418
RPL39,163.37249571709071
EEF1A1,163.17314149960615
RPS19,163.1151058967663
RPL7,163.08447878187715
RPL10,163.06533350629292
RPL18A,163.042836005425
RPL36,162.94458609124987
RPL38,162.93505746526577
FAU,162.8866058014708
RPSA,162.66409722846615
RPS20,162.6549725374693
RPS23,162.44489483725073
RPS7,162.3939528429349
RPS4X,162.3197063607563
RPS15,162.31489631977624
RPS21,162.23581091962137
RPS8,162.20348999279898
RPL8,162.1471404683161
RPL28,162.13606947186412
B2M,162.08978309193344
RPL14,161.98394484614764
RPL19,161.74886075361343
TMSB4X,161.57201101247261
KLRD1,161.45949802584016
RPS16,161.40719581684982
RPL15,161.34334438442434
RPL18,161.2855364570931
RPLP1,161.2807567696045
RPL35,161.23069924248742
RPS5,161.22512053820532
RPL36A,161.22318750618004
RPL37,161.0858246750659
TSC22D3,161.0751044009865
RPS13,160.87804645261147
RPL6,160.66165655543406
RPS9,160.53866474481103
TPT1,160.52652455882645
HLA-A,160.39790580983563
RPS10,160.2944627133551
RPL37A,160.23059384592722
UBA52,160.1010394130925
CD52,160.08308303141524
MT-CO1,159.3012645934315
EEF1D,159.2099870384859
RPL22,159.20288244988706
MT-ND2,159.148283801018
MT-ND4,159.04008671090003
RPL17,158.8832625146095
RPL24,158.84304345850794
PTMA,158.77288807221467
RPL29,158.76515394183957
EIF1,158.6884983231902
RPL27,158.43100562541824
ZFP36L2,158.23959630938327
MT-CYB,158.20757837268405
RPL23,158.11616709989542
RPS24,158.09624696220385
MT-CO3,157.93947570639588
MT-ATP6,157.9170269345133
RPL5,157.72779690266265
H3F3B,157.70573383307647
RPS11,157.51378804050742
HLA-C,157.04154871319295
TXNIP,156.87780240707158
RPL4,156.6316934160974
PFDN5,156.60813318482414
MT-CO2,156.58005456147885
MT-ND3,156.24632004500424
HLA-E,155.8042102541242
COMMD6,155.7761901167272
RPL7A,155.67038362152195
ACTB,155.1709057577868
ISG20,154.89205218681172
UBC,154.41942140999006
MYL12A,154.3189151385981
RPS2,154.31312137238513
TMSB10,154.25613895327817
RPLP0,154.0591221620856
HMGB1,153.76688870480254
JUNB,153.47485809652093
IL2RG,153.09924303199855
UQCRB,153.0972697002253
XIST,152.65893243661034
ATP5E,152.43933113409693
FTH1,152.36447803571224
ARHGDIB,152.3228460253558
IL7R,152.31490621554266
HLA-B,152.2117251488404
CALM1,151.96149187342914
PFN1,151.9332516501081
SERF2,151.88278672909868
MT-ND1,151.54117272723778
UBB,151.4638062923498
FGFBP2,151.43920183823374
EEF1B2,150.76387438727687
SKP1,150.4791930965273
BTF3,150.33179699989134
HCST,150.24299002656267
HNRNPA1,150.06816905350144
STK4,149.86221914073997
DDX5,149.7215243777015
TUBA4A,149.69310785826332
GAPDH,149.65125875889197
NACA,149.63392008981967
RPL36AL,149.60878004146002
CD3G,149.46163622583225
GIMAP7,149.4010481905128
ATP5L,149.2835141263815
FTL,149.27211867646147
NPM1,149.16210312860073
HINT1,149.09815841545574
SH3BGRL3,148.95820192232512
DDIT4,148.9017926989085
IFITM2,148.84490779718593
ANXA1,148.59850132611845
SRGN,148.5817612489415
EIF3E,148.51783914737652
CD3E,148.17197817697738
COX7C,147.91428343919276
CD37,147.87271860425403
COX4I1,147.7873798662202
CMC1,147.76795853162014
OST4,147.315737542494
OAZ1,147.25881174959903
CFL1,147.2007876048821
CD69,147.1837752598146
HOPX,147.18249920138382
CALM2,147.06260928897757
CIRBP,147.03715365853174
TMA7,146.501807348815
PPDPF,146.19423581624213
GZMM,145.94341835225273
MYL12B,145.6768462746048
GLTSCR2,145.54911319184384
SON,145.3327015529229
LTB,145.29983115674952
PABPC1,144.94210079692036
SNRPD2,144.70049819592955
PTPRC,144.63981731294874
S100A4,144.57881488864908
MYL6,144.4819574774438
KLRB1,144.3322524816942
DDX24,143.7950149188077
ATP5G2,143.6930358687095
SRP14,143.67853737658288
CD7,143.34112037450808
GNLY,143.28040599099384
H3F3A,143.25696117920586
NBEAL1,143.1912845204621
ANAPC16,143.09582227776545
N4BP2L2,142.99374083718578
EVL,142.8517910088828
SARAF,142.81527368455542
HSP90AA1,142.71152560182244
ARPC2,142.31045369957067
S100A6,141.9103343868018
CD53,141.84280424596915
HNRNPA2B1,141.83588223555503
RBM39,141.49459273339428
HLA-DPB1,141.4135943117846
RARRES3,141.4042971489036
SLC25A6,141.2926361140398
TRMT112,141.2815301325541
PSME1,141.251892226365
ATP6V0E1,141.1351344442386
LITAF,140.92404601314874
CORO1A,140.90771258252258
PPIA,140.81191946986286
SMCHD1,140.59889062154764
EMP3,140.43193190867458
GMFG,140.41110377007166
ITM2B,140.154851781266
GZMK,139.97625409735176
FXYD5,139.86108158194958
ID2,139.8531584459905
SRSF7,139.7051874023067
KLRG1,139.47000805037146
UQCR11,139.35096544964003
NEAT1,138.80982040970832
RBM8A,138.80378030096497
RAC2,138.75483202333706
SELK,138.75042061624248
LY6E,138.64626774642613
CREM,138.59064906024025
LCK,138.4897054727189
LIMD2,138.14189969660018
LAPTM5,138.06983935390883
ACTG1,138.01428832962682
KLF6,137.6849842864367
SRSF5,137.58992561062988
FUS,137.55032201510934
SUB1,137.34040327265117
H2AFZ,137.1726353281371
HSP90AB1,137.1689364870826
SF1,136.9330219749184
VAMP2,136.92667798119982
STK17A,136.90741968256134
PSMB9,136.82842163296164
OFD1,136.79546471724174
ELF1,136.72646973860054
ZFAS1,136.59109971503318
YPEL5,136.55698317998826
SAP18,136.5106837461358
C14ORF2,136.3155576995518
EDF1,136.2933694584321
EIF3F,136.2112972184777
SEPT7,135.80397001058628
ATP6V1G1,135.05379554059985
LSP1,134.78067390132088
ICAM3,134.6832323876172
TBC1D10C,134.31689019504879
PYHIN1,134.2279435739417
CIB1,134.18317109618113
NAP1L1,134.1472459776246
CD74,134.0562129879617
ALOX5AP,134.01112215743674
RSL24D1,133.89174995379295
PPP2R5C,133.79313470214055
RGS1,133.76877308024066
UQCRH,133.6888032081923
AES,133.384161829869
CD99,133.32853020571767
KMT2E,133.06240730594857
APRT,133.01502922247477
COX6C,132.87828785171897
PRR13,132.86744450411084
SSR4,132.80596809892572
SUMO2,132.75965527896815
RPS26,132.72666574498976
NDUFA13,132.7093845722942
CCND3,132.46880728382376
HLA-DRB1,132.31733486211368
LEPROTL1,132.2961551636429
DUSP2,131.9329578249825
CCR7,131.91739383151156
HLA-F,131.88088611486745
SOD1,131.82438046827207
EIF3K,131.76634474602434
AKAP13,131.67321000684467
ARPC3,131.63167301244323
RNMT,131.45406600177733
HLA-DPA1,131.30919768684186
BIRC3,131.30377743187483
FYB,131.28914199433348
YBX1,131.1832382188398
TCEB2,131.08052963257015
LAT,131.0652903371491
HMGN2,131.05194656209446
CHCHD2,130.8656624960832
IER2,130.846181323838
NFKBIA,130.79105382321532
COX6A1,130.7516988636285
UXT,130.64819687855731
CNBP,130.58442870646775
LDHB,130.5589614863675
ITM2A,130.522076893437
SSR2,130.38662289074088
HLA-DRA,130.3176846328657
CLIC1,130.28962470367497
UBXN1,130.18456357186966
MT-ND5,130.17423872698922
SNRPG,130.1143339436626
ARL6IP5,130.06348881064744
GZMB,130.0510608845602
EIF3G,130.04801902703736
